#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     7.8603     0.0099    28.1313     0.2445     0.6360     2.8657     0.8246     0.8054   1.6228e+07   2.1137e+06   2.0067e+06   1.3025e-01   1.2366e-01   2.5969e-02   4.9264e-04   1.2587e-01
   1     7.8496     0.0099    28.1038     0.3453     0.6833     2.8666     0.7851     0.7587   1.3753e+07   1.1590e+06   1.0777e+06   8.4272e-02   7.8359e-02   3.6355e-02   6.6864e-04   1.2594e-01
   2     7.8337     0.0099    28.0824     0.4455     0.7281     2.8678     0.7040     0.6706   1.1868e+07   6.8682e+05   6.2614e+05   5.7871e-02   5.2758e-02   4.6215e-02   8.7272e-04   1.2592e-01
   3     7.8326     0.0099    28.0643     0.5452     0.7730     2.8684     0.5840     0.5440   1.0333e+07   4.0031e+05   3.5829e+05   3.8742e-02   3.4675e-02   5.5400e-02   1.1481e-03   1.2601e-01
   4     7.8319     0.0099    28.0961     0.6447     0.7975     2.8701     0.4439     0.3976   9.1722e+06   2.2513e+05   1.9821e+05   2.4545e-02   2.1610e-02   6.3579e-02   1.5369e-03   1.2584e-01
   5     7.8132     0.0099    28.0434     0.7433     0.8187     2.8706     0.2463     0.1940   8.0508e+06   1.1360e+05   9.8535e+04   1.4111e-02   1.2239e-02   7.1037e-02   2.1711e-03   1.2597e-01
   6     7.8038     0.0099    28.0174     0.8399     0.8202     2.8726    -0.0510    -0.1095   7.2644e+06   4.3864e+04   3.7534e+04   6.0382e-03   5.1669e-03   7.7763e-02   3.5050e-03   1.2604e-01
