#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0    12.4194     0.0100    35.2647     0.2462     0.6748     1.7144    -0.4067    -0.4250   1.0184e+05   1.4784e+04   1.3799e+04   1.4516e-01   1.3549e-01   3.4465e-02   5.9150e-03   1.0937e-01
   1    12.2757     0.0100    35.0092     0.3469     0.7382     1.7067    -0.4957    -0.5225   8.1737e+04   8.1820e+03   7.4361e+03   1.0010e-01   9.0975e-02   4.7759e-02   8.0018e-03   1.0972e-01
   2    12.6221     0.0098    35.9252     0.4435     0.7901     1.7055    -0.6470    -0.6761   7.7948e+04   4.2988e+03   3.8122e+03   5.5149e-02   4.8907e-02   5.9987e-02   1.1104e-02   1.0788e-01
   3    12.4299     0.0100    35.1935     0.5465     0.9206     1.7043    -0.8343    -0.8718   6.7058e+04   2.6299e+03   2.2652e+03   3.9218e-02   3.3780e-02   7.4493e-02   1.4293e-02   1.0978e-01
   4    12.2883     0.0098    35.4189     0.6439     0.8070     1.7141    -0.8130    -0.8504   6.1964e+04   1.5383e+03   1.3000e+03   2.4826e-02   2.0980e-02   8.3963e-02   1.8770e-02   1.0805e-01
   5    12.2957     0.0097    35.5223     0.7511     0.8529     1.7115    -1.0841    -1.1302   5.7086e+04   7.0964e+02   5.8852e+02   1.2431e-02   1.0309e-02   9.3297e-02   2.7755e-02   1.0772e-01
   6    12.1391     0.0098    35.1599     0.8377     0.9300     1.7373    -1.4081    -1.4405   5.9953e+04   2.4271e+02   1.9550e+02   4.0483e-03   3.2609e-03   1.0773e-01   4.7771e-02   1.0847e-01
