#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     2.0011     0.0099    14.2381     0.2459     0.5630     3.6600     2.4428     2.4159   1.7298e+06   6.0139e+06   5.6385e+06   3.4766e+00   3.2596e+00   3.2213e-02   2.9295e-04   1.5412e-01
   1     1.9902     0.0099    14.1610     0.3470     0.6047     3.6624     2.4268     2.3895   1.5598e+06   3.9589e+06   3.6170e+06   2.5381e+00   2.3189e+00   4.5129e-02   3.6331e-04   1.5473e-01
   2     1.9868     0.0099    14.1902     0.4466     0.6552     3.6595     2.3606     2.3142   1.4024e+06   2.5376e+06   2.2646e+06   1.8095e+00   1.6148e+00   5.6855e-02   4.5633e-04   1.5432e-01
   3     1.9819     0.0099    14.1825     0.5466     0.6813     3.6647     2.2964     2.2412   1.3972e+06   1.7479e+06   1.5267e+06   1.2510e+00   1.0926e+00   6.7574e-02   5.5261e-04   1.5434e-01
   4     1.9772     0.0099    14.1075     0.6467     0.6919     3.6563     2.2054     2.1421   1.2749e+06   1.1040e+06   9.4479e+05   8.6594e-01   7.4109e-01   7.7688e-02   6.9864e-04   1.5504e-01
   5     1.9662     0.0098    14.1476     0.7457     0.7012     3.6586     2.0510     1.9806   1.2340e+06   6.1615e+05   5.1859e+05   4.9932e-01   4.2026e-01   8.5971e-02   9.3875e-04   1.5439e-01
   6     1.9654     0.0098    14.1373     0.8423     0.7027     3.6671     1.8040     1.7258   1.1561e+06   2.7377e+05   2.2688e+05   2.3680e-01   1.9625e-01   9.3652e-02   1.4133e-03   1.5446e-01
