#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     4.9754     0.0099    22.4019     0.2449     0.6150     3.1703     1.4029     1.3818   7.9492e+06   3.3273e+06   3.1495e+06   4.1857e-01   3.9621e-01   2.7440e-02   3.9293e-04   1.3259e-01
   1     4.9682     0.0099    22.3812     0.3457     0.6514     3.1710     1.3784     1.3494   6.8566e+06   1.9039e+06   1.7633e+06   2.7767e-01   2.5716e-01   3.8343e-02   5.2220e-04   1.3265e-01
   2     4.9615     0.0099    22.3709     0.4458     0.7013     3.1725     1.2996     1.2633   6.1109e+06   1.1454e+06   1.0390e+06   1.8744e-01   1.7003e-01   4.8693e-02   6.7659e-04   1.3263e-01
   3     4.9511     0.0099    22.3420     0.5454     0.7320     3.1717     1.2066     1.1632   5.5280e+06   6.9257e+05   6.1629e+05   1.2528e-01   1.1149e-01   5.8275e-02   8.7408e-04   1.3272e-01
   4     4.9573     0.0099    22.3486     0.6455     0.7700     3.1703     1.0552     1.0049   4.9444e+06   3.9504e+05   3.4542e+05   7.9896e-02   6.9861e-02   6.7006e-02   1.1621e-03   1.3274e-01
   5     4.9352     0.0099    22.2876     0.7436     0.7900     3.1717     0.8719     0.8150   4.5644e+06   2.1043e+05   1.8116e+05   4.6102e-02   3.9689e-02   7.4744e-02   1.5980e-03   1.3289e-01
   6     4.9067     0.0099    22.1970     0.8392     0.7662     3.1748     0.6254     0.5618   4.2629e+06   8.3768e+04   7.1122e+04   1.9651e-02   1.6684e-02   8.1644e-02   2.5409e-03   1.3318e-01
