#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     4.9724     0.0098    22.4689     0.2452     0.6119     2.2602     0.7514     0.7266   2.6466e+04   3.5890e+04   3.3380e+04   1.3561e+00   1.2613e+00   3.6227e-02   3.7995e-03   1.1782e-01
   1     4.9801     0.0099    22.4154     0.3476     0.6282     2.2643     0.7352     0.7016   2.2170e+04   2.0825e+04   1.8819e+04   9.3933e-01   8.4883e-01   5.0614e-02   5.0224e-03   1.1821e-01
   2     4.9761     0.0099    22.3980     0.4450     0.6820     2.2621     0.6351     0.5963   2.1418e+04   1.2924e+04   1.1353e+04   6.0343e-01   5.3007e-01   6.4723e-02   6.4180e-03   1.1830e-01
   3     4.9779     0.0099    22.3654     0.5474     0.7676     2.2694     0.4697     0.4246   2.0471e+04   7.5128e+03   6.4073e+03   3.6700e-01   3.1300e-01   7.9417e-02   8.4757e-03   1.1848e-01
   4     4.9296     0.0099    22.3424     0.6461     0.8080     2.2707     0.3207     0.2699   1.9794e+04   4.1443e+03   3.4509e+03   2.0937e-01   1.7434e-01   9.1299e-02   1.1474e-02   1.1808e-01
   5     4.9907     0.0098    22.5114     0.7404     0.7696     2.2691     0.1878     0.1303   1.7734e+04   2.4308e+03   1.9897e+03   1.3707e-01   1.1220e-01   9.9778e-02   1.5041e-02   1.1782e-01
   6     4.9523     0.0098    22.3986     0.8400     0.7821     2.2609    -0.1313    -0.1940   1.7971e+04   8.7753e+02   7.0430e+02   4.8830e-02   3.9191e-02   1.0951e-01   2.5143e-02   1.1793e-01
