#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0    30.4007     0.0101    54.7740     0.2434     0.7433     0.8803    -1.8795    -1.8938   3.0122e+05   4.4527e+03   4.1703e+03   1.4783e-02   1.3845e-02   3.2756e-02   1.0769e-02   1.0429e-01
   1    30.4414     0.0101    54.8596     0.3457     0.7901     0.8864    -1.9502    -1.9688   2.3889e+05   2.2714e+03   2.0707e+03   9.5083e-03   8.6681e-03   4.6223e-02   1.5176e-02   1.0415e-01
   2    30.3356     0.0100    54.8815     0.4447     0.8372     0.8897    -2.0650    -2.0886   1.8967e+05   1.2305e+03   1.0945e+03   6.4876e-03   5.7705e-03   5.8496e-02   2.0739e-02   1.0388e-01
   3    30.3306     0.0100    54.8131     0.5443     0.8621     0.8905    -2.1736    -2.2006   1.5146e+05   6.7884e+02   5.8942e+02   4.4819e-03   3.8915e-03   7.0505e-02   2.8080e-02   1.0404e-01
   4    30.5278     0.0101    54.9170     0.6453     0.9290     0.8985    -2.3910    -2.4228   1.2005e+05   3.5532e+02   3.0128e+02   2.9599e-03   2.5097e-03   8.2308e-02   3.9026e-02   1.0420e-01
   5    30.6159     0.0101    54.8142     0.7431     0.9399     0.9124    -2.5921    -2.6277   9.8371e+04   1.7653e+02   1.4675e+02   1.7945e-03   1.4918e-03   9.2112e-02   5.5617e-02   1.0461e-01
   6    30.1371     0.0100    54.6753     0.8384     0.9517     0.9217    -2.8942    -2.9357   6.4720e+04   5.8681e+01   4.7923e+01   9.0669e-04   7.4048e-04   1.0091e-01   9.6853e-02   1.0402e-01
