#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     7.8588     0.0099    28.1840     0.2445     0.6452     2.0269     0.1738     0.1524   5.8150e+04   2.3991e+04   2.2373e+04   4.1258e-01   3.8475e-01   3.4900e-02   4.6442e-03   1.1283e-01
   1     7.8692     0.0099    28.1819     0.3446     0.6806     2.0285     0.1238     0.0953   4.9705e+04   1.3370e+04   1.2129e+04   2.6899e-01   2.4401e-01   4.8692e-02   6.2624e-03   1.1293e-01
   2     7.8603     0.0099    28.1782     0.4448     0.7334     2.0265     0.0298    -0.0029   4.6256e+04   7.5154e+03   6.6268e+03   1.6247e-01   1.4326e-01   6.2835e-02   8.4089e-03   1.1290e-01
   3     7.7879     0.0099    27.9700     0.5447     0.8058     2.0280    -0.1104    -0.1481   4.4352e+04   4.5577e+03   3.9104e+03   1.0276e-01   8.8169e-02   7.6435e-02   1.0867e-02   1.1335e-01
   4     7.8270     0.0098    28.1875     0.6463     0.7899     2.0278    -0.2292    -0.2741   3.7604e+04   2.6966e+03   2.2677e+03   7.1711e-02   6.0306e-02   8.6396e-02   1.4193e-02   1.1265e-01
   5     7.8872     0.0099    28.1596     0.7430     0.8331     2.0269    -0.4576    -0.5077   3.6282e+04   1.3288e+03   1.0935e+03   3.6624e-02   3.0139e-02   9.7128e-02   2.0318e-02   1.1323e-01
   6     7.8424     0.0098    28.1766     0.8400     0.8354     2.0258    -0.7619    -0.8184   3.3764e+04   5.0256e+02   4.0576e+02   1.4884e-02   1.2018e-02   1.0656e-01   3.3180e-02   1.1276e-01
