#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0    18.0505     0.0105    41.3210     0.2440     0.7093     1.8582    -0.6916    -0.7088   1.5652e+07   3.6172e+05   3.4403e+05   2.3110e-02   2.1979e-02   2.5076e-02   1.1903e-03   1.2127e-01
   1    18.0586     0.0105    41.3508     0.3450     0.7658     1.8573    -0.7616    -0.7853   1.2094e+07   1.8562e+05   1.7302e+05   1.5348e-02   1.4306e-02   3.5132e-02   1.6698e-03   1.2119e-01
   2    18.0418     0.0105    41.3392     0.4449     0.8027     1.8607    -0.8433    -0.8738   9.3623e+06   1.0457e+05   9.5640e+04   1.1169e-02   1.0215e-02   4.4598e-02   2.2349e-03   1.2117e-01
   3    18.0275     0.0105    41.2889     0.5450     0.8302     1.8653    -0.9457    -0.9827   7.2854e+06   6.0690e+04   5.4530e+04   8.3303e-03   7.4848e-03   5.3465e-02   2.9460e-03   1.2131e-01
   4    18.0493     0.0105    41.3186     0.6446     0.9035     1.8739    -1.1558    -1.1987   5.7049e+06   3.2840e+04   2.9022e+04   5.7564e-03   5.0872e-03   6.1715e-02   4.0206e-03   1.2128e-01
   5    18.0362     0.0105    41.2813     0.7428     0.9154     1.8817    -1.3548    -1.4035   4.1927e+06   1.5464e+04   1.3472e+04   3.6883e-03   3.2132e-03   6.8833e-02   5.8787e-03   1.2138e-01
   6    18.1146     0.0105    41.3562     0.8387     0.8962     1.9023    -1.6514    -1.7057   2.8824e+06   5.6514e+03   4.8603e+03   1.9606e-03   1.6862e-03   7.5262e-02   9.7536e-03   1.2139e-01
