#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     1.2711     0.0099    11.3481     0.2471     0.5537     3.8951     2.9279     2.8965   8.5668e+05   6.6945e+06   6.2220e+06   7.8145e+00   7.2630e+00   3.6581e-02   2.7824e-04   1.7103e-01
   1     1.2602     0.0099    11.2939     0.3474     0.5710     3.8850     2.9418     2.8984   7.4055e+05   4.9702e+06   4.4918e+06   6.7115e+00   6.0655e+00   5.0558e-02   3.2509e-04   1.7147e-01
   2     1.2501     0.0099    11.2717     0.4480     0.6131     3.8924     2.9049     2.8508   6.8263e+05   3.6043e+06   3.1740e+06   5.2800e+00   4.6497e+00   6.3483e-02   3.8409e-04   1.7147e-01
   3     1.2581     0.0099    11.2677     0.5458     0.6402     3.8877     2.8482     2.7847   6.0186e+05   2.5167e+06   2.1656e+06   4.1815e+00   3.5982e+00   7.4976e-02   4.6214e-04   1.7172e-01
   4     1.2518     0.0099    11.2413     0.6466     0.6691     3.8915     2.7710     2.6981   6.0266e+05   1.6831e+06   1.4173e+06   2.7927e+00   2.3518e+00   8.5705e-02   5.6792e-04   1.7196e-01
   5     1.2487     0.0099    11.2189     0.7449     0.7037     3.8869     2.6115     2.5301   5.7533e+05   1.0420e+06   8.6028e+05   1.8112e+00   1.4953e+00   9.5544e-02   7.2503e-04   1.7213e-01
   6     1.2304     0.0099    11.1911     0.8412     0.6484     3.8790     2.4590     2.3699   5.4293e+05   4.7125e+05   3.8299e+05   8.6798e-01   7.0542e-01   1.0332e-01   1.0820e-03   1.7211e-01
