#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0    19.7401     0.0099    44.5322     0.2427     0.7088     1.3692    -1.0911    -1.1061   2.0577e+05   8.4176e+03   7.8774e+03   4.0908e-02   3.8283e-02   3.3149e-02   7.8338e-03   1.0580e-01
   1    19.7305     0.0099    44.5340     0.3448     0.7436     1.3757    -1.1414    -1.1619   1.7257e+05   4.5363e+03   4.1335e+03   2.6286e-02   2.3952e-02   4.6464e-02   1.0740e-02   1.0573e-01
   2    19.5699     0.0099    44.3617     0.4446     0.8447     1.3769    -1.2945    -1.3190   1.5006e+05   2.5693e+03   2.2788e+03   1.7122e-02   1.5186e-02   5.9929e-02   1.4362e-02   1.0577e-01
   3    19.4556     0.0100    44.1498     0.5463     0.8579     1.3752    -1.3910    -1.4220   1.1863e+05   1.4622e+03   1.2656e+03   1.2325e-02   1.0668e-02   7.2060e-02   1.9147e-02   1.0612e-01
   4    19.5848     0.0100    44.2204     0.6471     0.8318     1.3778    -1.5121    -1.5481   1.0192e+05   7.5990e+02   6.4481e+02   7.4561e-03   6.3269e-03   8.1930e-02   2.6681e-02   1.0625e-01
   5    19.7567     0.0098    44.7383     0.7423     0.9116     1.3882    -1.7996    -1.8361   9.0965e+04   3.7152e+02   3.0837e+02   4.0841e-03   3.3900e-03   9.2876e-02   3.8351e-02   1.0519e-01
   6    20.0208     0.0099    44.8925     0.8409     0.9670     1.3724    -2.1993    -2.2423   7.8206e+04   1.2846e+02   1.0444e+02   1.6426e-03   1.3354e-03   1.0317e-01   6.5526e-02   1.0553e-01
