#bin         Q2          x          W          z         pt     xs_inc     xs_pip     xs_pim        N_inc        N_pip        N_pim     mulp_pip     mulp_pim         Asym        Astat           Ax
   0     1.9915     0.0097    14.3108     0.2441     0.6006     2.7163     1.8450     1.8125   6.2486e+03   5.8965e+04   5.4413e+04   9.4365e+00   8.7080e+00   4.0153e-02   2.9699e-03   1.3356e-01
   1     1.9956     0.0098    14.2508     0.3449     0.6540     2.6969     1.8197     1.7764   6.5042e+03   4.7374e+04   4.2257e+04   7.2835e+00   6.4968e+00   5.7091e-02   3.3402e-03   1.3415e-01
   2     1.9873     0.0100    14.1316     0.4450     0.6485     2.7077     1.7451     1.6895   4.2775e+03   2.4192e+04   2.0958e+04   5.6556e+00   4.8997e+00   7.1610e-02   4.7062e-03   1.3524e-01
   3     1.9453     0.0101    13.8765     0.5472     0.7283     2.6976     1.7313     1.6637   4.5581e+03   2.2988e+04   1.9285e+04   5.0433e+00   4.2310e+00   8.7583e-02   4.8637e-03   1.3689e-01
   4     1.9887     0.0097    14.3046     0.6405     0.5895     2.7146     1.6458     1.5773   3.9535e+03   1.0151e+04   8.3768e+03   2.5675e+00   2.1188e+00   9.5739e-02   7.3467e-03   1.3366e-01
   5     2.0056     0.0099    14.2244     0.7501     0.7275     2.7008     1.3667     1.2847   4.0276e+03   6.2833e+03   5.0321e+03   1.5600e+00   1.2494e+00   1.1057e-01   9.4008e-03   1.3484e-01
   6     1.8737     0.0095    14.0213     0.8444     0.8884     2.7203     1.0126     0.9241   4.3130e+03   2.8524e+03   2.2141e+03   6.6134e-01   5.1334e-01   1.2599e-01   1.4049e-02   1.3375e-01
